Leaf_ID,Pop_ID,Region,Lobes,Length,BLBW,MLBW,ALBW,LVL,UVL,UMLS,LMLS,LLA,ULA,MLA,LWR_1,LWR_2,LWR_3,LODR_1,LODR_2
QH-E-4-4a,E4,East,11,60,29,24,7,12,28,16,17,120,124,138,48.33333333,40,11.66666667,33.33333333,41.17647059
QH-E-4-4b,E4,East,7,59,20,22,18,10,12,16,14,113,134,141,33.89830508,37.28813559,30.50847458,27.27272727,57.14285714
QH-E-4-5a,E4,East,7,72,23,18,11,29,15,13,17,103,144,128,31.94444444,25,15.27777778,27.77777778,5.882352941
QH-E-4-5b,E4,East,8,57,17,19,15,11,26,7,12,126,117,144,29.8245614,33.33333333,26.31578947,63.15789474,58.33333333
QH-E-4-6b,E4,East,11,61,14,17,9,11,27,14,11,111,121,140,22.95081967,27.86885246,14.75409836,17.64705882,54.54545455
QH-E-4-7b,E4,East,8,59,15,16,10,9,10,12,12,112,138,145,25.42372881,27.11864407,16.94915254,25,33.33333333
QH-E-4-8a,E4,East,9,62,19,20,9,16,23,12,13,108,139,138,30.64516129,32.25806452,14.51612903,40,53.84615385
QH-E-4-8b,E4,East,9,61,17,19,9,14,25,13,13,116,125,126,27.86885246,31.14754098,14.75409836,31.57894737,46.15384615
QH-E-4-9a,E4,East,7,56,26,27,18,10,14,20,23,120,131,137,46.42857143,48.21428571,32.14285714,25.92592593,17.39130435
QH-E-4-9b,E4,East,8,68,32,31,18,14,15,21,25,122,147,163,47.05882353,45.58823529,26.47058824,32.25806452,24
QH-E-4-10a,E4,East,7,41,18,20,12,9,10,11,13,126,140,156,43.90243902,48.7804878,29.26829268,45,53.84615385
QH-E-4-10b,E4,East,8,49,17,16,9,12,8,9,12,112,125,148,34.69387755,32.65306122,18.36734694,43.75,33.33333333
QH-E-4-11a,E4,East,9,66,31,32,15,12,28,22,20,128,133,153,46.96969697,48.48484848,22.72727273,31.25,60
QH-E-4-11b,E4,East,9,53,18,25,9,11,24,14,14,134,133,148,33.96226415,47.16981132,16.98113208,44,78.57142857
QH-E-4-14b,E4,East,9,50,21,22,10,8,14,13,19,107,137,131,42,44,20,40.90909091,15.78947368
