Longitude,Latitude,Pop
-111.189,37.518,W33_EB
-109.789,37.623,W34_EB
-109.4,38.5,W35_EB
-109.573,38.974,W36_EB
-110.721,39.009,W37_EB
-112.006,37.087,W38_EB
-109.623,37.323,W39_EB
-108.631,39.032,W4_EB
-109.808,37.591,W40_EB
-110.028,37.83,W41_EB
-109.679,38.206,W42_EB
-110.904,38.324,W43_EB
-108.986,39.195,W5_EB
-108.321,36.509,W7_EB
-110.069,37.064,W8_EB
-111.984,37.096,W9_EB
-106.558,32.372,U1_EB
-104.683,35.535,U2_EB
-105.675,35.574,U3_EB
-107.17,34.91,U4_EB
